Section,Block,Isolate_number,Isolate,Collection,24 horas,30 horas,36 horas,42 horas,48 horas,AUMPD
2,7,16,976B,second,0.634,2.116,3.225,7.537,10.964,119.67
2,10,16,976B,second,1.587,4.19,7.767,11.328,15.275,209.34
2,12,16,976B,second,1.837,3.851,5.939,11.493,13.719,196.41
2,15,16,976B,second,1.803,3.371,6.218,9.685,13.069,181.896
2,17,16,976B,second,3.337,5.661,11.113,15.584,18.851,300.756
2,20,16,976B,second,2.136,4.464,8.884,13.168,17.352,243.192
2,22,16,976B,second,1.714,4.14,7.607,12.694,18.686,228.414
2,24,16,976B,second,2.007,5.061,7.506,12.706,16.139,230.16
2,2,17,976D,second,4.441,9.621,16.093,25.463,29.726,462.855
2,3,17,976D,second,3.847,5.042,14.622,15.081,21.841,331.698
2,7,17,976D,second,2.076,4.644,8.003,14.174,14.956,236.934
2,10,17,976D,second,2.521,5.546,9.103,13.289,18.829,261.93
2,12,17,976D,second,1.722,3.222,6.663,10.192,15.035,191.397
2,13,17,976D,second,2.113,5.931,11.501,16.198,18.504,288.987
2,17,17,976D,second,2.883,7.177,10.605,16.498,20.588,310.689
2,19,17,976D,second,5.064,8.207,13.232,11.848,22.313,342.621
2,23,17,976D,second,2.155,5.713,7.745,11.128,14.64,223.761
2,24,17,976D,second,2.448,5.103,7.87,11.534,17.125,235.137
2,2,18,977B,second,1.408,3.178,5.661,11.426,14.427,185.991
2,4,18,977B,second,1.407,2.841,5.422,9.512,13.218,167.409
2,8,18,977B,second,1.055,2.971,5.965,8.896,10.741,155.04
2,10,18,977B,second,1.538,3.155,5.24,8.681,12.741,163.749
2,13,18,977B,second,1.398,3.725,5.556,7.906,12.395,161.277
2,15,18,977B,second,1.188,1.769,4.051,5.91,9.678,117.234
2,18,18,977B,second,1.392,2.834,4.247,7.553,11.211,142.317
2,20,18,977B,second,1.324,3.259,5.791,8.918,13.125,167.043
2,23,18,977B,second,1.259,2.944,4.76,8.012,9.049,140.328
2,24,18,977B,second,0.96,2.67,4.044,6.852,10.532,127.392
2,3,19,977C,second,2.625,5.015,9.358,14.344,17.105,262.992
2,5,19,977C,second,2.045,4.694,8.825,11.95,18.727,239.67
2,7,19,977C,second,2.482,4.62,6.523,12.177,17.052,228.306
2,9,19,977C,second,1.551,3.609,5.317,8.607,13.12,167.823
2,11,19,977C,second,1.369,3.061,6.365,10.128,15.883,185.508
2,14,19,977C,second,1.749,2.926,4.251,8.424,10.848,152.385
2,17,19,977C,second,1.61,4.65,7.964,12.648,14.91,220.452
2,19,19,977C,second,1.737,4.572,7.779,12.375,17.665,227.406
2,22,19,977C,second,1.048,2.583,4.83,7.814,12.051,143.235
2,23,19,977C,second,2.106,5.972,9.25,15.438,18.991,272.523
2,3,20,974C,second,0.966,2.818,5.315,11.116,14.161,172.467
2,5,20,974C,second,1.993,4.3,7.791,11.886,18.063,227.946
2,6,20,974C,second,1.499,3.158,6.598,9.864,14.638,184.119
2,10,20,974C,second,1.225,2.886,5.762,9.155,13.231,164.886
2,11,20,974C,second,0.791,2.94,5.05,8.591,11.869,146.958
2,14,20,974C,second,2,3.66,6.607,11.429,17.807,213.597
2,16,20,974C,second,2.025,4.096,6.882,11.663,13.695,207.306
2,19,20,974C,second,1.762,4.205,6.245,9.86,13.174,187.812
2,21,20,974C,second,2.118,5.998,9.104,13.371,18.518,258.162
2,23,20,974C,second,2.248,4.693,7.759,11.434,14.856,221.604
2,1,11,973A,third,3.225,6.477,10.226,13.32,19.865,288.108
2,5,11,973A,third,2.613,5.566,12.708,18.839,24.077,334.104
2,7,11,973A,third,0.796,1.703,3.919,5.718,7.724,103.152
2,9,11,973A,third,1.358,3.444,6.92,10.761,11.042,180.246
2,11,11,973A,third,1.955,3.175,6.487,9.755,11.665,180.822
2,14,11,973A,third,2.416,4.458,9.646,15.002,26.694,290.958
2,18,11,973A,third,1.972,3.725,8.769,12.961,15.002,227.316
2,19,11,973A,third,2.345,4.176,8.571,11.987,15.761,230.862
2,21,11,973A,third,1.663,3.682,7.116,12.154,17.299,214.554
2,25,11,973A,third,2.556,5.697,11.949,17.422,27.415,330.993
2,1,12,973E,third,2.737,6.267,9.008,12.512,19.774,267.099
2,5,12,973E,third,1.962,4.212,7.464,11.983,17.682,224.43
2,6,12,973E,third,2.479,4.495,7.654,11.634,14.942,224.709
2,8,12,973E,third,1.758,3.309,5.578,8.844,12.03,168.846
2,12,12,973E,third,1.678,3.19,5.549,9.102,13.281,172.059
2,13,12,973E,third,1.496,2.886,6.776,9.044,13.164,174.168
2,16,12,973E,third,2.095,4.331,10.926,13.363,15.725,250.32
2,18,12,973E,third,2.531,4.644,9.133,13.15,17.187,251.088
2,22,12,973E,third,2.512,4.618,8.536,11.894,13.811,229.401
2,25,12,973E,third,3.621,7.244,13.554,17.321,26.422,362.295
2,1,13,974B,third,0,0.469,0.938,2.43,5.115,38.367
2,4,13,974B,third,1.056,2.539,6.024,8.226,11.429,150.861
2,6,13,974B,third,0.99,1.975,4.2,7.24,10.18,125.88
2,8,13,974B,third,1.292,2.499,5.209,7.992,9.694,142.662
2,11,13,974B,third,0.065,0.446,1.38,2.399,3.672,37.341
2,15,13,974B,third,0.444,0.947,1.759,2.151,4.142,48.228
2,17,13,974B,third,0.72,1.651,4.357,7.015,9.364,117.03
2,18,13,974B,third,0.004,0.592,1.348,2.687,5.046,42.96
2,21,13,974B,third,0.119,0.643,1.233,2.832,4.398,43.227
2,25,13,974B,third,0,0.406,1.32,3.094,5.419,45.177
2,1,14,974E,third,0,0.596,1.307,3.317,5.442,47.646
2,4,14,974E,third,0.984,2.097,3.536,5.686,7.478,105.108
2,8,14,974E,third,0.408,1.155,2.311,3.824,5.367,65.961
2,9,14,974E,third,0,0.433,0.844,1.375,2.323,22.881
2,12,14,974E,third,0.496,1.043,1.892,3.699,5.516,63.792
2,15,14,974E,third,0.19,0.655,1.852,2.419,5.204,48.018
