Number,Section,Isolate number,Isolate,Collection,Area
1103,3,36,6,second,10.782
1104,3,36,6,second,13.711
1105,3,36,6,second,17.59
1106,3,36,6,second,14.117
1107,3,36,6,second,16.887
1108,3,36,6,second,13.444
1109,3,36,6,second,19.051
1110,3,36,6,second,13.79
1111,3,37,29,second,7.118
1112,3,37,29,second,8.215
1113,3,37,29,second,14.13
1114,3,37,29,second,16.104
1115,3,37,29,second,19.432
1116,3,37,29,second,10.159
1117,3,37,29,second,8.713
1118,3,37,29,second,11.585
1119,3,37,29,second,10.389
1120,3,37,29,second,10.544
1121,3,38,8,second,14.482
1122,3,38,8,second,8.378
1123,3,38,8,second,9.485
1124,3,38,8,second,12.581
1125,3,38,8,second,17.337
1126,3,38,8,second,15.933
1127,3,38,8,second,15.313
1128,3,38,8,second,16.299
1129,3,38,8,second,15.121
1130,3,38,8,second,15.631
1131,3,39,16,second,10.585
1132,3,39,16,second,7.297
1133,3,39,16,second,11.879
1134,3,39,16,second,16.03
1135,3,39,16,second,10.462
1136,3,39,16,second,7.769
1137,3,39,16,second,11.214
1138,3,39,16,second,18.077
1139,3,39,16,second,13.685
1140,3,39,16,second,13.529
1141,3,40,20,second,9.11
1142,3,40,20,second,12.972
1143,3,40,20,second,10.006
1144,3,40,20,second,10.981
1145,3,40,20,second,7.959
1146,3,40,20,second,7.342
1147,3,40,20,second,13.408
1148,3,40,20,second,13.691
1149,3,40,20,second,8.727
1150,3,40,20,second,16.838
1151,3,41,24,second,8.78
1152,3,41,24,second,6.247
1153,3,41,24,second,1.687
1154,3,41,24,second,8.047
1155,3,41,24,second,7.233
1156,3,41,24,second,7.616
1157,3,41,24,second,3.698
1158,3,41,24,second,7.804
1159,3,41,24,second,8.498
1160,3,41,24,second,8.638
1161,3,42,1012,second,9.562
1162,3,42,1012,second,13.306
1163,3,42,1012,second,8.33
1164,3,42,1012,second,10.012
1165,3,42,1012,second,13.378
1166,3,42,1012,second,7.867
1167,3,42,1012,second,10.259
1168,3,42,1012,second,14.634
1169,3,42,1012,second,13.206
1170,3,42,1012,second,9.191
1171,3,43,13,second,13.864
1172,3,43,13,second,16.199
1173,3,43,13,second,8.899
1174,3,43,13,second,21.126
1175,3,43,13,second,13.079
1176,3,43,13,second,10.575
1177,3,43,13,second,13.555
1178,3,43,13,second,14.605
1179,3,43,13,second,14.2
1180,3,43,13,second,14.258
1181,3,44,33,second,9.778
1182,3,44,33,second,13.312
1183,3,44,33,second,6.207
1184,3,44,33,second,13.194
1185,3,44,33,second,11.716
1186,3,44,33,second,9.627
1187,3,44,33,second,19.483
1188,3,44,33,second,10.309
1189,3,44,33,second,14.001
1190,3,44,33,second,7.851
1191,3,45,26,second,12.956
1192,3,45,26,second,7.643
1193,3,45,26,second,13.297
1194,3,45,26,second,14.402
1195,3,45,26,second,8.437
1196,3,45,26,second,14.458
1197,3,45,26,second,11.977
